Round,Hteam,Ateam,Hscore,Ascore,HorA,WorL,Date,Wether,Grass_condition,Spectators,temperature,TimeLine1,TimeLine2,TimeLine3,TimeLine4,TimeLine5,TimeLine6,Attack_CBP,Pass_CBP,Cross_CBP,Dribble_CBP,Shots_CBP,Score_CBP,Seizure,Diffence,Save_CBP,Expect_Goal,Shots,Shots_Success,On_Target,PK,Pass,Pass_Success,Cross,Cross_Success,D_FK,I_FK,CK,Throwing,Throwing_Success,Dribble,Dribble_Success,Tackle,Tackle_Success,Clear,Intercept,OffSide,Yellow,Red,Approach_30m,Approach_Penalty,Attack_Num,Chances,Control,AGI,KAGI
1,ベガルタ仙台,浦和レッズ,0,0,1,1,2019.2.23 14:00 Kick Off,晴,全面良芝,"18,567人",10℃,43.6%,34.3%,39.9%,41.2%,37.1%,33.5%,9.48,6.09,2.09,1.30,3.56,0.00,89.37,16.49,0.47,0.479,8,(0.0%),3,0,287,(69.0%),8,(50.0%),18,2,2,15,(60.0%),16,(50.0%),21,(61.9%),28,2,1,2,0,24,6,120,6.7%,38.3%,47,49
2,横浜Ｆ・マリノス,ベガルタ仙台,2,1,0,0,2019.3.2 13:00 Kick Off,晴,全面良芝,"22,751人",13℃,32.6%,31.5%,28.3%,38.0%,35.4%,35.1%,6.99,5.25,0.48,1.26,3.63,0.32,87.59,19.23,0.82,1.189,5,(20.0%),2,1,293,(66.9%),11,(9.1%),13,2,4,18,(72.2%),10,(50.0%),30,(63.3%),26,0,6,1,0,13,4,121,4.1%,33.6%,34,39
3,ベガルタ仙台,ヴィッセル神戸,1,3,1,0,2019.3.10 14:00 Kick Off,晴,全面良芝,"19,503人",15.3℃,37.8%,44.3%,40.2%,40.9%,37.7%,39.9%,15.07,13.94,1.01,0.12,14.30,1.25,94.43,15.03,1.57,2.181,20,(5.0%),6,0,442,(81.0%),11,(18.2%),12,3,5,11,(90.9%),2,(50.0%),24,(50.0%),10,1,1,0,0,43,14,105,19.0%,40.3%,52,51
4,湘南ベルマーレ,ベガルタ仙台,2,1,0,0,2019.3.17 17:00 Kick Off,晴,全面良芝,"9,290人",12.5℃,44.8%,49.4%,48.0%,58.4%,62.7%,63.7%,19.01,15.46,2.52,1.03,3.73,2.96,121.60,14.26,0.72,0.963,13,(7.7%),3,0,582,(78.0%),13,(38.5%),9,2,2,27,(88.9%),12,(41.7%),28,(75.0%),19,0,3,0,0,41,12,132,9.8%,54%,45,48
5,ベガルタ仙台,セレッソ大阪,0,2,1,0,2019.3.30 14:00 Kick Off,雪,全面良芝,"10,931人",3.6℃,35.6%,45.9%,44.7%,48.2%,53.7%,45.9%,14.08,12.48,1.48,0.12,4.35,0.00,113.63,14.02,0.13,1.312,13,(0.0%),3,0,478,(77.2%),13,(23.1%),7,6,2,29,(86.2%),5,(20.0%),22,(68.2%),22,4,0,0,0,42,5,135,9.6%,45.7%,44,54
6,ベガルタ仙台,サガン鳥栖,3,0,1,3,2019.4.6 14:00 Kick Off,晴,全面良芝,"11,235人",13.3℃,32.9%,42.3%,47.5%,42.4%,48.1%,31.8%,11.97,8.50,1.87,1.60,9.66,8.42,87.48,10.82,0.61,2.76,16,(18.8%),6,1,304,(69.1%),13,(30.8%),14,1,9,14,(92.9%),19,(31.6%),15,(73.3%),30,3,2,0,0,34,10,113,14.2%,40.6%,54,58
7,大分トリニータ,ベガルタ仙台,2,0,0,0,2019.4.14 16:00 Kick Off,屋内,全面良芝,"11,477人",15.3℃,34.5%,47.4%,45.9%,56.6%,52.2%,42.7%,15.85,13.64,1.48,0.73,11.27,0.00,77.75,12.86,0.57,1.224,16,(0.0%),4,0,528,(82.0%),19,(15.8%),8,1,8,12,(75.0%),14,(42.9%),16,(75.0%),15,3,1,0,0,48,11,100,16.0%,45.8%,56,53
8,鹿島アントラーズ,ベガルタ仙台,1,0,0,0,2019.4.20 15:00 Kick Off,曇のち晴,全面良芝,"16,844人",13.7℃,41.6%,32.0%,46.6%,43.2%,43.3%,56.5%,11.02,9.26,0.52,1.24,4.47,0.00,90.69,19.37,0.00,1.022,11,(0.0%),1,0,354,(70.6%),18,(5.6%),14,0,3,25,(80.0%),14,(57.1%),19,(52.6%),30,3,0,1,0,38,6,123,8.9%,43.5%,45,40
9,ベガルタ仙台,ガンバ大阪,2,1,1,3,2019.4.28 13:00 Kick Off,晴,全面良芝,"16,004人",16℃,55.8%,59.2%,60.5%,48.1%,34.7%,45.3%,15.52,12.33,1.58,1.60,13.17,7.65,96.09,16.75,0.18,1.324,18,(11.1%),11,0,478,(79.5%),20,(15.0%),9,2,6,20,(80.0%),19,(52.6%),17,(41.2%),31,3,1,0,0,44,13,126,14.3%,50.5%,58,40
10,川崎フロンターレ,ベガルタ仙台,3,1,0,0,2019.5.3 15:00 Kick Off,晴のち曇,全面良芝,"25,789人",24.3℃,43.5%,32.9%,32.4%,43.3%,34.9%,46.1%,13.12,10.66,1.59,0.87,6.10,2.96,85.54,18.11,0.07,0.969,9,(11.1%),5,0,390,(78.7%),14,(21.4%),10,0,4,13,(76.9%),7,(57.1%),21,(66.7%),18,0,3,1,0,26,10,107,8.4%,39.1%,50,25
11,ベガルタ仙台,サンフレッチェ広島,2,1,1,3,2019.5.12 13:05 Kick Off,晴,全面良芝,"12,180人",15.1℃,58.2%,46.9%,61.2%,50.4%,46.5%,66.1%,19.72,16.56,2.19,0.96,12.82,5.76,111.66,10.66,1.08,1.674,17,(11.8%),8,0,568,(82.9%),14,(28.6%),17,0,3,17,(82.4%),10,(40.0%),23,(69.6%),21,3,3,2,0,56,17,114,14.9%,54.7%,53,45
12,ジュビロ磐田,ベガルタ仙台,2,0,0,0,2019.5.18 14:00 Kick Off,曇,全面良芝,"12,864人",23.5℃,53.5%,57.8%,38.9%,53.2%,58.1%,58.6%,16.62,13.44,1.56,1.61,5.58,0.00,86.66,13.04,0.89,1.399,14,(0.0%),3,0,522,(78.7%),24,(12.5%),15,2,8,22,(86.4%),11,(54.5%),16,(56.3%),10,2,2,1,0,46,12,125,11.2%,52.8%,55,50
13,清水エスパルス,ベガルタ仙台,4,3,0,0,2019.5.25 14:00 Kick Off,晴,全面良芝,"12,234人",31.5℃,46.6%,53.1%,57.5%,44.6%,46.2%,56.3%,15.99,11.83,2.53,1.63,10.75,9.99,87.49,15.79,0.09,1.983,21,(14.3%),7,0,498,(75.5%),22,(22.7%),6,2,9,28,(85.7%),15,(46.7%),19,(73.7%),24,1,2,2,1,41,13,133,15.8%,51.2%,52,53
14,ベガルタ仙台,名古屋グランパス,3,1,1,3,2019.6.1 14:00 Kick Off,晴,全面良芝,"12,853人",22℃,41.2%,33.6%,40.7%,49.9%,30.0%,32.3%,8.69,7.23,1.00,0.46,7.48,7.84,122.94,18.40,0.04,1.061,10,(30.0%),4,0,310,(66.1%),12,(16.7%),12,1,2,16,(75.0%),6,(50.0%),42,(66.7%),28,4,0,2,0,22,8,121,8.3%,38.4%,43,40
15,松本山雅ＦＣ,ベガルタ仙台,0,1,0,3,2019.6.15 19:00 Kick Off,曇時々雨,全面良芝,"14,078人",15.5℃,53.7%,55.4%,56.3%,25.7%,47.6%,50.6%,16.40,10.42,4.29,1.69,8.46,1.25,89.25,17.48,1.46,1.473,11,(9.1%),6,0,446,(77.6%),22,(36.4%),10,3,5,24,(54.2%),14,(64.3%),20,(65.0%),32,2,0,0,0,39,15,124,8.9%,49.4%,56,48
16,ベガルタ仙台,ＦＣ東京,2,0,1,3,2019.6.23 19:00 Kick Off,曇,全面良芝,"12,343人",19.3℃,45.5%,44.4%,43.2%,40.8%,55.9%,45.8%,14.05,9.14,2.02,2.89,9.27,8.25,95.89,19.00,0.00,1.833,21,(9.5%),5,0,362,(73.5%),17,(29.4%),13,1,6,15,(60.0%),15,(60.0%),28,(71.4%),25,0,0,1,0,37,14,118,17.8%,45.2%,58,50
17,ベガルタ仙台,北海道コンサドーレ札幌,2,1,1,3,2019.6.30 19:00 Kick Off,雨,全面良芝,"12,125人",19.7℃,40.5%,55.6%,37.2%,33.2%,39.9%,39.2%,11.52,8.23,2.37,0.91,9.72,6.87,86.84,22.69,1.61,1.502,15,(13.3%),8,0,313,(78.0%),15,(33.3%),9,0,4,9,(66.7%),7,(57.1%),27,(70.4%),44,4,1,1,0,32,6,109,13.8%,41.7%,46,43
18,浦和レッズ,ベガルタ仙台,1,0,0,0,2019.7.6 19:00 Kick Off,曇,全面良芝,"28,904人",23.9℃,47.0%,31.9%,44.2%,41.0%,27.8%,36.9%,9.04,8.51,0.00,0.54,2.13,0.00,67.54,13.64,0.54,0.315,3,(0.0%),1,0,337,(77.4%),7,(0.0%),10,1,2,9,(77.8%),7,(42.9%),22,(63.6%),25,1,1,4,1,26,5,93,3.2%,38%,38,41
19,ベガルタ仙台,鹿島アントラーズ,0,4,1,0,2019.7.13 19:00 Kick Off,晴,全面良芝,"17,639人",24.4℃,34.2%,36.6%,53.2%,55.7%,58.4%,61.7%,13.83,10.17,1.52,2.14,6.93,0.00,86.05,12.16,0.72,1.434,17,(0.0%),4,0,416,(76.2%),21,(14.3%),17,2,7,21,(81.0%),23,(65.2%),16,(75.0%),11,2,2,0,0,44,7,118,14.4%,50.7%,55,42
20,セレッソ大阪,ベガルタ仙台,0,0,0,1,2019.7.20 19:00 Kick Off,曇,不良,"15,574人",28.8℃,32.5%,32.0%,53.6%,49.7%,30.5%,43.3%,11.08,8.62,1.55,0.91,5.39,0.00,76.08,18.94,0.43,1.266,17,(0.0%),3,0,289,(70.6%),24,(12.5%),11,0,7,18,(72.2%),8,(75.0%),16,(75.0%),41,3,0,1,0,35,7,111,15.3%,40.2%,60,41
21,ベガルタ仙台,ジュビロ磐田,2,1,1,3,2019.8.3 19:00 Kick Off,晴,全面良芝,"15,084人",30.4℃,55.6%,68.4%,37.1%,39.3%,34.7%,29.5%,12.32,8.06,3.28,0.99,6.96,4.44,83.32,24.75,0.00,1.528,11,(18.2%),4,0,334,(75.7%),21,(28.6%),10,0,3,17,(64.7%),16,(37.5%),21,(61.9%),52,2,0,1,0,29,7,96,11.5%,43.2%,46,34
22,ＦＣ東京,ベガルタ仙台,1,0,0,0,2019.8.10 19:00 Kick Off,晴,全面良芝,"28,435人",29.5℃,57.5%,39.5%,45.8%,58.8%,61.4%,54.1%,13.26,10.71,0.90,1.65,4.66,0.00,59.00,11.84,0.08,0.64,13,(0.0%),1,0,429,(77.4%),20,(10.0%),11,0,6,15,(86.7%),16,(62.5%),16,(81.3%),16,1,2,4,0,37,8,103,12.6%,52.1%,45,54
23,ベガルタ仙台,川崎フロンターレ,2,2,1,1,2019.8.17 19:00 Kick Off,晴,全面良芝,"17,860人",27.8℃,36.3%,35.3%,35.4%,29.5%,28.3%,34.5%,8.42,5.97,1.61,0.84,4.08,5.90,73.38,15.97,0.27,1.395,9,(22.2%),3,0,263,(72.6%),8,(37.5%),9,1,6,11,(81.8%),6,(66.7%),14,(92.9%),26,2,2,1,0,21,7,90,10.0%,33.3%,51,32
24,ベガルタ仙台,湘南ベルマーレ,1,1,1,1,2019.8.24 19:00 Kick Off,曇,全面良芝,"17,759人",24.2℃,49.9%,52.4%,54.8%,64.6%,49.3%,57.6%,13.41,9.91,1.97,1.53,5.63,1.18,89.73,16.35,1.10,2.235,19,(5.3%),2,0,407,(68.8%),23,(17.4%),9,3,5,38,(86.8%),13,(53.8%),18,(55.6%),25,3,4,1,0,29,16,137,13.9%,55.2%,58,42
25,サガン鳥栖,ベガルタ仙台,2,1,0,0,2019.8.31 19:30 Kick Off,曇,良芝,"15,194人",23.4℃,52.2%,46.3%,35.3%,33.7%,38.4%,43.6%,12.44,10.19,0.89,1.36,3.86,2.96,75.35,19.65,0.69,0.994,13,(7.7%),3,0,336,(68.5%),13,(15.4%),11,3,4,14,(71.4%),7,(57.1%),23,(56.5%),42,2,1,0,0,32,11,111,11.7%,41.3%,54,35
26,北海道コンサドーレ札幌,ベガルタ仙台,1,3,0,3,2019.9.14 14:00 Kick Off,晴,全面良芝,"11,254人",23.8℃,34.3%,29.8%,41.2%,35.4%,42.0%,34.6%,8.71,6.50,0.98,1.23,10.07,3.68,97.05,20.80,0.41,2.622,16,(18.8%),8,0,256,(69.5%),12,(16.7%),17,5,6,8,(87.5%),21,(38.1%),22,(68.2%),25,4,5,1,0,27,11,116,13.8%,36.3%,49,47
27,ベガルタ仙台,横浜Ｆ・マリノス,1,1,1,1,2019.9.28 19:00 Kick Off,雨,全面良芝,"15,688人",22.3℃,27.4%,28.4%,35.9%,31.5%,37.2%,49.9%,11.19,7.66,1.49,2.04,5.81,2.95,92.84,17.61,0.32,1.006,13,(7.7%),5,0,301,(65.1%),10,(30.0%),11,3,4,26,(76.9%),7,(85.7%),24,(70.8%),22,3,5,2,0,17,10,131,9.9%,35.5%,46,43
28,ベガルタ仙台,松本山雅ＦＣ,0,1,1,0,2019.10.5 14:00 Kick Off,晴,全面良芝,"15,285人",23.1℃,62.7%,46.3%,69.7%,70.6%,63.6%,64.3%,33.47,19.58,6.65,7.24,14.85,0.00,88.49,9.78,0.49,2.56,29,(0.0%),5,0,681,(84.1%),43,(30.2%),4,1,13,29,(96.6%),36,(75.0%),22,(68.2%),10,2,0,0,0,63,21,121,24.0%,63.5%,62,50
29,名古屋グランパス,ベガルタ仙台,0,2,0,3,2019.10.19 14:00 Kick Off,曇時々雨,全面良芝,"15,485人",22.3℃,34.5%,39.4%,45.5%,46.1%,26.0%,30.4%,9.59,8.57,0.52,0.50,8.48,2.88,72.56,24.88,0.86,2.209,11,(18.2%),5,1,302,(73.8%),13,(7.7%),8,1,3,13,(84.6%),9,(44.4%),13,(76.9%),43,2,2,0,0,32,9,108,10.2%,37.4%,46,33
30,ヴィッセル神戸,ベガルタ仙台,2,0,0,0,2019.11.2 13:00 Kick Off,晴,全面良芝,"18,975人",18.5℃,31.4%,35.1%,50.2%,41.4%,29.4%,49.5%,11.58,9.83,0.00,1.75,4.27,0.00,90.68,9.20,0.26,1.096,15,(0.0%),3,0,444,(78.2%),9,(0.0%),11,4,7,21,(90.5%),11,(54.5%),19,(47.4%),7,0,0,1,0,29,6,115,13.0%,39.8%,47,59
31,ベガルタ仙台,清水エスパルス,2,0,1,3,2019.11.10 13:05 Kick Off,晴,全面良芝,"15,553人",14.7℃,49.5%,32.2%,42.4%,31.3%,41.2%,40.7%,13.33,8.49,2.99,1.85,10.97,5.85,95.81,21.60,0.03,2.172,17,(11.8%),6,0,291,(73.5%),18,(33.3%),14,1,6,15,(80.0%),15,(66.7%),28,(71.4%),35,0,0,1,0,31,18,118,14.4%,39.7%,64,43
32,ガンバ大阪,ベガルタ仙台,2,0,0,0,2019.11.23 15:00 Kick Off,晴,全面良芝,"26,256人",20.4℃,34.5%,36.4%,35.1%,35.7%,41.9%,41.0%,10.20,8.22,0.90,1.08,3.45,0.00,79.60,24.98,0.51,0.616,10,(0.0%),2,0,372,(78.8%),9,(22.2%),10,0,3,24,(83.3%),14,(35.7%),21,(61.9%),29,2,4,0,0,37,6,115,8.7%,37.6%,47,32
33,ベガルタ仙台,大分トリニータ,2,0,1,3,2019.11.30 14:00 Kick Off,晴,全面良芝,"13,894人",8.2℃,30.5%,34.3%,29.1%,21.9%,24.0%,32.9%,5.87,4.72,0.98,0.18,5.31,5.66,75.96,19.17,0.44,0.708,11,(18.2%),3,0,244,(74.2%),5,(40.0%),12,1,3,12,(66.7%),4,(50.0%),13,(76.9%),32,2,2,0,0,17,2,96,11.5%,29%,40,49
34,サンフレッチェ広島,ベガルタ仙台,1,0,0,0,2019.12.7 14:00 Kick Off,晴,全面良芝,"13,228人",10.1℃,38.7%,32.9%,26.2%,36.1%,37.5%,38.1%,7.74,6.94,0.60,0.19,0.00,0.00,90.10,23.01,1.19,0.461,5,(0.0%),0,0,338,(71.6%),9,(11.1%),11,2,5,19,(73.7%),7,(28.6%),19,(68.4%),34,4,1,0,0,18,3,110,4.5%,34.6%,32,24
35,ベガルタ仙台,名古屋グランパス,1,1,1,1,2020.2.22 14:00 Kick Off,曇,全面良芝,"13,968人",9.7℃,48.3%,39.5%,36.1%,40.8%,34.8%,32.8%,7.43,5.74,0.92,0.77,5.67,1.23,113.31,17.22,0.29,0.97,12,(8.3%),3,0,295,(60.7%),12,(16.7%),7,0,5,23,(60.9%),12,(25.0%),28,(67.9%),26,1,1,1,0,24,9,130,9.2%,38.4%,50,44
36,湘南ベルマーレ,ベガルタ仙台,0,1,0,3,2020.7.4 19:00 Kick Off,曇,全面良芝,0人,25.6℃,39.0%,37.3%,34.4%,46.2%,50.8%,47.2%,14.16,8.27,2.09,3.80,5.35,5.35,80.49,17.18,0.19,1.246,15,(6.7%),3,0,378,(69.8%),16,(25.0%),12,1,9,19,(84.2%),24,(45.8%),19,(47.4%),33,2,2,1,0,37,17,123,12.2%,41.9%,58,50
37,ベガルタ仙台,浦和レッズ,1,2,1,0,2020.7.8 18:00 Kick Off,曇,全面良芝,0人,22.2℃,53.0%,48.2%,36.4%,55.1%,41.9%,44.3%,15.71,10.21,4.88,0.62,5.30,1.23,98.23,12.57,0.63,2.168,16,(6.3%),4,0,442,(79.4%),23,(39.1%),9,2,6,20,(95.0%),12,(33.3%),15,(80.0%),22,2,0,0,0,54,13,121,13.2%,45.7%,52,44
38,横浜ＦＣ,ベガルタ仙台,1,1,0,1,2020.7.12 18:00 Kick Off,晴のち曇,全面良芝,"2,235人",24.7℃,30.9%,37.1%,34.4%,47.5%,53.0%,43.5%,13.33,7.74,3.46,2.13,9.70,3.15,124.63,13.03,0.18,1.509,13,(7.7%),3,0,349,(68.8%),22,(31.8%),12,4,4,20,(55.0%),15,(66.7%),23,(78.3%),15,3,1,3,0,36,16,126,10.3%,40.7%,62,49
39,ベガルタ仙台,北海道コンサドーレ札幌,2,2,1,1,2020.7.18 18:00 Kick Off,曇,全面良芝,"2,597人",21.4℃,54.2%,46.6%,55.1%,49.9%,51.6%,39.3%,17.16,11.86,3.55,1.75,9.58,7.86,103.35,12.69,0.98,3.02,19,(10.5%),7,0,445,(81.8%),23,(30.4%),14,1,7,16,(87.5%),13,(61.5%),19,(84.2%),28,3,1,2,0,44,16,111,17.1%,49.6%,55,51
40,ベガルタ仙台,川崎フロンターレ,2,3,1,0,2020.7.22 19:30 Kick Off,曇,全面良芝,"2,507人",26℃,29.1%,42.4%,27.6%,32.8%,52.0%,51.5%,10.16,8.80,0.49,0.87,3.54,8.68,59.86,15.73,0.49,1.105,11,(18.2%),2,0,377,(76.9%),7,(14.3%),6,1,3,14,(85.7%),7,(57.1%),17,(70.6%),19,2,2,0,0,26,10,100,11.0%,39.4%,44,36
41,柏レイソル,ベガルタ仙台,5,1,0,0,2020.7.26 19:00 Kick Off,曇一時雨,全面良芝,"2,500人",26℃,52.4%,58.6%,46.2%,50.6%,66.5%,39.9%,16.65,10.94,3.05,2.67,7.85,1.19,62.64,14.11,2.72,1.643,14,(7.1%),4,0,509,(80.7%),18,(33.3%),12,0,4,23,(91.3%),11,(90.9%),15,(40.0%),12,3,3,1,0,34,10,117,12.0%,50.5%,46,46
42,ベガルタ仙台,横浜Ｆ・マリノス,0,1,1,0,2020.8.1 18:00 Kick Off,晴,全面良芝,"2,758人",24.1℃,26.1%,35.3%,31.3%,25.6%,40.9%,33.8%,7.74,5.57,1.93,0.24,9.43,0.00,102.71,25.31,0.69,0.731,9,(0.0%),6,0,263,(63.5%),13,(30.8%),7,0,5,21,(81.0%),7,(28.6%),20,(55.0%),34,2,2,0,0,24,8,124,7.3%,31.7%,48,41
43,ヴィッセル神戸,ベガルタ仙台,1,2,0,3,2020.8.8 19:00 Kick Off,晴,全面良芝,"4,333人",26.7℃,39.7%,51.9%,35.2%,31.6%,35.3%,28.5%,11.18,7.56,2.23,1.39,3.62,2.92,50.89,18.19,0.65,0.606,10,(10.0%),3,0,359,(81.9%),12,(33.3%),8,3,3,16,(81.3%),9,(44.4%),18,(66.7%),33,2,1,1,0,25,7,94,10.6%,36.9%,39,38
44,ベガルタ仙台,清水エスパルス,0,0,1,1,2020.8.15 18:00 Kick Off,晴,全面良芝,"2,718人",30.6℃,40.8%,34.8%,48.8%,51.6%,46.6%,47.0%,17.15,11.84,3.20,2.11,8.74,0.00,101.90,19.05,0.47,0.968,13,(0.0%),5,0,461,(82.0%),20,(30.0%),9,0,3,17,(88.2%),13,(53.8%),27,(66.7%),33,3,4,2,0,43,17,113,11.5%,44.7%,57,46
45,セレッソ大阪,ベガルタ仙台,2,1,0,0,2020.8.23 19:00 Kick Off,曇,全面良芝,"3,921人",30.6℃,50.0%,44.6%,50.2%,46.8%,51.8%,54.9%,12.09,10.88,0.56,0.65,2.63,2.63,93.01,10.82,0.20,0.411,8,(12.5%),2,0,516,(81.6%),16,(6.3%),7,3,5,19,(100.0%),10,(50.0%),14,(57.1%),17,5,1,0,0,43,8,106,7.5%,49.7%,50,50
46,サンフレッチェ広島,ベガルタ仙台,1,1,0,1,2020.8.29 19:00 Kick Off,晴,全面良芝,"3,124人",28.7℃,41.4%,54.5%,49.0%,49.3%,53.8%,42.3%,13.50,11.49,1.58,0.42,9.75,3.08,85.42,16.40,0.66,1.285,14,(7.1%),6,0,483,(80.7%),15,(20.0%),8,0,7,24,(91.7%),6,(33.3%),14,(64.3%),25,2,2,2,0,45,11,116,12.1%,48.3%,55,36
47,ベガルタ仙台,ガンバ大阪,1,4,1,0,2020.9.5 18:30 Kick Off,曇,全面良芝,"2,871人",26℃,47.9%,54.4%,59.6%,66.0%,63.4%,56.8%,16.26,10.28,5.17,0.81,10.30,2.57,74.80,11.80,0.06,2.525,18,(5.6%),6,1,532,(76.5%),28,(35.7%),6,2,8,31,(90.3%),10,(40.0%),9,(77.8%),13,0,2,2,0,37,15,126,14.3%,58%,56,55
